RunID_vial,_out_crystalscore,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_rxn_organic_inchikey,_rxn_temperatureC_actual_bulk,_rxn_mixingtime1S,_rxn_mixingtime2S,_rxn_reactiontimeS,_rxn_stirrateRPM,_feat_AtomCount_C,_feat_AtomCount_N,_feat_AvgPol,_feat_MolPol,_feat_Refractivity,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_Aliphatic AtomCount,_feat_AromaticAtomCount,_feat_BondCount,_feat_CarboaliphaticRingCount,_feat_CarboaromaticRingCount,_feat_CarboRingCount,_feat_ChainAtomCount,_feat_ChiralCenterCount,_feat_RingAtomCount,_feat_SmallestRingSize,_feat_LargestRingSize,_feat_HeteroaliphaticRingCount,_feat_HeteroaromaticRing Count,_feat_RotatableBondCount,_feat_BalabanIndex,_feat_CyclomaticNumber,_feat_HyperWienerIndex,_feat_WienerIndex,_feat_WienerPolarity,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_MinimalProjectionRadius,_feat_MaximalProjectionRadius,_feat_LengthPerpendicularToTheMinArea,_feat_LengthPerpendicularToTheMaxArea,_feat_VanderWaalsVolume,_feat_VanderWaalsSurfaceArea,_feat_ASA,_feat_ASA+,_feat_ASA-,_feat_ASA_H,_feat_ASA_P,_feat_PolarSurfaceArea,_feat_acceptorcount,_feat_Accsitecount,_feat_donorcount,_feat_donsitecount,_feat_fr_NH2,_feat_fr_NH1,_feat_fr_NH0,_feat_fr_quatN,_feat_fr_ArN,_feat_fr_Ar_NH,_feat_fr_Imine,_feat_fr_amidine,_feat_fr_dihydropyridine,_feat_fr_guanido,_feat_fr_piperdine,_feat_fr_piperzine,_feat_fr_pyridine,_feat_maximalprojectionsize,_feat_minimalprojectionsize,_feat_molsurfaceareaVDWp,_feat_msareaVDWp,_feat_molsurfaceareaASAp,_feat_msareaASAp,_feat_ProtPolarSurfaceArea,_feat_Protpsa,_feat_Hacceptorcount,_feat_Hdonorcount
2019-09-30T17_16_09.419113+00_00_LBL_A8,1,8.746469694,0.329357658,0.791806714,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A9,1,0.424071258,0.008182799,1.104098248,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_B1,1,5.895780264,0.15578475,1.069235093,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_B10,1,2.438409733,0.693492212,1.258003946,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_B11,1,3.399368801,0.549346223,1.018726595,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_B12,1,0.265044536,0.280260864,1.001331538,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_B2,1,5.501922507,0.161287704,1.102821909,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_B3,1,1.48722385,0.391511674,0.663607836,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_B4,1,0.159026722,0.028639796,0.414191727,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_B5,1,1.90832066,0.421414146,0.674049726,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
