# Processed xy data with Haverford two-theta converted to LBL scale
two_theta,intensity
5.812336334448366,6.0
5.835590900706661,9.0
5.8588455295808854,9.0
5.882100221322295,5.0
5.905354976182176,5.0
5.928609794411824,7.0
5.951864676262572,4.0
5.97511962198576,4.0
5.99837463183276,3.0
6.02162970605496,4.0
6.044884844903773,5.0
6.0681400486306325,6.0
6.091395317486996,6.0
6.114650651724341,5.0
6.13790605159417,3.0
6.161161517348003,5.0
6.18441704923739,5.0
6.207672647513895,4.0
6.230928312429112,5.0
6.254184044234656,5.0
6.27743984318216,2.0
6.300695709523287,3.0
6.3239516435097185,2.0
6.347207645393159,3.0
6.370463715425341,3.0
6.3937198538580144,4.0
6.416976060942956,4.0
6.440232336931965,2.0
6.4634886820768624,3.0
6.486745096629497,2.0
6.510001580841738,3.0
6.53325813496548,5.0
6.5565147592526385,6.0
6.579771453955157,4.0
6.603028219325004,2.0
6.626285055614165,2.0
6.649541963074657,3.0
6.6727989419585185,4.0
6.696055992517813,4.0
6.719313115004629,5.0
6.742570309671076,7.0
6.7658275767692935,8.0
6.789084916551441,8.0
6.812342329269707,8.0
6.835599815176301,3.0
6.858857374523463,3.0
6.882115007563452,3.0
6.905372714548557,5.0
6.9286304957310865,4.0
6.951888351363382,3.0
6.975146281697805,5.0
6.998404286986744,3.0
7.021662367482616,3.0
7.044920523437857,3.0
7.068178755104935,2.0
7.091437062736341,3.0
7.1146954465845935,6.0
7.137953906902237,8.0
7.161212443941841,5.0
7.184471057955999,4.0
7.207729749197341,5.0
7.230988517918511,6.0
7.254247364372185,4.0
7.277506288811065,3.0
7.30076529148788,3.0
7.324024372655387,2.0
7.347283532566368,1.0
7.370542771473634,3.0
7.393802089630019,5.0
7.417061487288388,6.0
7.440320964701634,3.0
7.4635805221226725,2.0
7.486840159804451,2.0
7.510099877999942,2.0
7.533359676962151,4.0
7.5566195569440975,6.0
7.579879518198843,5.0
7.603139560979473,5.0
7.626399685539099,3.0
7.649659892130859,1.0
7.672920181007921,2.0
7.696180552423485,4.0
7.719441006630773,3.0
7.742701543883038,4.0
7.765962164433562,4.0
7.789222868535657,4.0
7.81248365644266,4.0
7.835744528407938,3.0
7.859005484684887,5.0
7.882266525526933,4.0
7.905527651187532,3.0
7.928788861920164,4.0
7.952050157978344,4.0
7.975311539615614,3.0
7.998573007085543,3.0
8.02183456064173,4.0
8.045096200537811,7.0
8.06835792702744,7.0
8.09161974036431,5.0
8.114881640802139,4.0
8.138143628594674,3.0
8.161405703995696,1.0
8.184667867259016,2.0
8.207930118638469,6.0
8.231192458387925,5.0
8.254454886761287,4.0
8.277717404012483,9.0
8.300980010395474,4.0
8.32424270616425,1.0
8.347505491572837,3.0
8.370768366875284,6.0
8.394031332325673,7.0
8.417294388178124,6.0
8.440557534686778,6.0
8.463820772105814,5.0
8.487084100689438,6.0
8.510347520691889,5.0
8.53361103236744,6.0
8.556874635970393,4.0
8.58013833175508,2.0
8.603402119975868,1.0
8.62666600088715,2.0
8.649929974743358,3.0
8.673194041798952,3.0
8.696458202308426,6.0
8.719722456526304,5.0
8.742986804707142,4.0
8.766251247105531,4.0
8.789515783976091,5.0
8.812780415573481,3.0
8.836045142152381,2.0
8.859309963967515,3.0
8.882574881273634,5.0
8.90583989432552,7.0
8.929105003377993,8.0
8.952370208685906,2.0
8.975635510504143,3.0
8.998900909087617,7.0
9.022166404691278,3.0
9.045431997570116,3.0
9.068697687979142,4.0
9.091963476173413,4.0
9.115229362408005,6.0
9.138495346938043,6.0
9.161761430018675,3.0
9.185027611905088,5.0
9.2082938928525,7.0
9.23156027311617,7.0
9.254826752951379,4.0
9.278093332613453,5.0
9.301360012357751,5.0
9.324626792439659,7.0
9.347893673114605,5.0
9.371160654638048,4.0
9.394427737265485,5.0
9.417694921252442,5.0
9.440962206854483,4.0
9.464229594327216,4.0
9.487497083926264,5.0
9.510764675907303,4.0
9.534032370526038,4.0
9.557300168038212,6.0
9.580568068699591,7.0
9.603836072765995,3.0
9.627104180493268,2.0
9.65037239213729,1.0
9.673640707953984,2.0
9.696909128199298,4.0
9.720177653129229,4.0
9.7434462829998,2.0
9.766715018067071,1.0
9.789983858587142,4.0
9.813252804816148,5.0
9.836521857010267,5.0
9.859791015425694,3.0
9.88306028031868,3.0
9.906329651945507,4.0
9.929599130562494,5.0
9.952868716425995,4.0
9.976138409792394,4.0
9.99940821091813,4.0
10.022678120059663,7.0
10.045948137473498,8.0
10.069218263416177,5.0
10.092488498144272,3.0
10.115758841914406,6.0
10.13902929498323,8.0
10.162299857607428,6.0
10.185570530043737,6.0
10.208841312548918,6.0
10.232112205379778,5.0
10.255383208793155,5.0
10.278654323045938,4.0
10.301925548395035,6.0
10.32519688509741,3.0
10.34846833341006,1.0
10.371739893590012,3.0
10.395011565894338,4.0
10.418283350580161,0.0
10.441555247904622,1.0
10.464827258124908,6.0
10.48809938149825,7.0
10.511371618281917,9.0
10.534643968733214,8.0
10.557916433109481,7.0
10.581189011668108,5.0
10.604461704666518,5.0
10.627734512362176,6.0
10.65100743501258,6.0
10.674280472875276,6.0
10.697553626207851,8.0
10.720826895267923,8.0
10.744100280313154,6.0
10.767373781601245,4.0
10.790647399389943,6.0
10.813921133937027,7.0
10.837194985500323,5.0
10.860468954337696,4.0
10.883743040707044,4.0
10.90701724486632,3.0
10.930291567073505,5.0
10.953566007586625,10.0
10.976840566663748,9.0
11.000115244562984,7.0
11.023390041542479,7.0
11.046664957860425,5.0
11.069939993775053,6.0
11.09321514954464,8.0
11.116490425427497,7.0
11.139765821681978,11.0
11.163041338566483,10.0
11.186316976339457,9.0
11.209592735259374,10.0
11.232868615584756,13.0
11.256144617574174,13.0
11.279420741486225,15.0
11.302696987579575,17.0
11.325973356112902,24.0
11.349249847344945,18.0
11.37252646153448,13.0
11.395803198940328,20.0
11.419080059821349,23.0
11.442357044436445,21.0
11.465634153044565,30.0
11.488911385904702,35.0
11.512188743275887,34.0
11.535466225417197,54.0
11.558743832587748,73.0
11.582021565046707,95.0
11.605299423053278,120.0
11.628577406866714,161.0
11.651855516746306,204.0
11.675133752951389,239.0
11.698412115741345,245.0
11.7216906053756,198.0
11.744969222113623,182.0
11.768247966214924,133.0
11.791526837939063,117.0
11.81480583754564,117.0
11.838084965294295,132.0
11.861364221444722,167.0
11.88464360625666,175.0
11.90792311998988,152.0
11.931202762904206,126.0
11.95448253525951,109.0
11.977762437315706,123.0
12.00104246933275,71.0
12.024322631570639,53.0
12.047602924289434,45.0
12.070883347749223,50.0
12.09416390221014,36.0
12.117444587932372,15.0
12.14072540517615,8.0
12.164006354201756,7.0
12.1872874352695,8.0
12.210568648639759,6.0
12.233849994572935,6.0
12.2571314733295,8.0
12.280413085169949,6.0
12.303694830354837,6.0
12.326976709144764,3.0
12.35025872180037,5.0
12.373540868582348,7.0
12.396823149751432,8.0
12.420105565568411,8.0
12.443388116294111,8.0
12.46667080218941,3.0
12.489953623515236,8.0
12.513236580532558,6.0
12.53651967350239,7.0
12.559802902685805,9.0
12.583086268343914,7.0
12.606369770737873,5.0
12.629653410128896,4.0
12.652937186778235,4.0
12.676221100947195,8.0
12.699505152897125,6.0
12.722789342889424,3.0
12.746073671185545,3.0
12.769358138046975,4.0
12.79264274373526,8.0
12.815927488511997,9.0
12.83921237263882,4.0
12.86249739637742,6.0
12.885782559989533,7.0
12.90906786373694,3.0
12.932353307881483,8.0
12.955638892685041,6.0
12.978924618409549,6.0
13.002210485316985,4.0
13.02549649366938,6.0
13.048782643728815,6.0
13.07206893575742,6.0
13.095355370017367,5.0
13.118641946770891,4.0
13.14192866628027,5.0
13.165215528807824,5.0
13.188502534615935,6.0
13.211789683967028,7.0
13.235076977123583,5.0
13.258364414348119,5.0
13.281651995903221,7.0
13.304939722051515,5.0
13.32822759305568,7.0
13.351515609178437,5.0
13.374803770682572,6.0
13.398092077830908,4.0
13.42138053088633,8.0
13.444669130111777,6.0
13.467957875770214,4.0
13.491246768124684,2.0
13.514535807438268,4.0
13.537824993974109,6.0
13.561114327995382,4.0
13.584403809765332,8.0
13.60769343954725,9.0
13.630983217604475,6.0
13.654273144200399,8.0
13.677563219598468,5.0
13.70085344406218,5.0
13.724143817855081,6.0
13.747434341240776,6.0
13.770725014482913,2.0
13.794015837845201,5.0
13.8173068115914,2.0
13.840597935985315,1.0
13.863889211290813,3.0
13.887180637771806,4.0
13.910472215692266,6.0
13.933763945316214,6.0
13.957055826907721,7.0
13.980347860730916,6.0
14.00364004704998,5.0
14.026932386129145,4.0
14.050224878232704,7.0
14.073517523624988,5.0
14.096810322570402,5.0
14.120103275333387,6.0
14.143396382178445,2.0
14.16668964337013,4.0
14.189983059173056,5.0
14.21327662985189,7.0
14.236570355671335,5.0
14.259864236896174,10.0
14.283158273791232,4.0
14.30645246662139,6.0
14.329746815651578,5.0
14.353041321146794,8.0
14.37633598337207,5.0
14.39963080259252,5.0
14.422925779073289,4.0
14.446220913079586,10.0
14.46951620487668,7.0
14.492811654729895,6.0
14.516107262904596,9.0
14.539403029666214,10.0
14.562698955280242,10.0
14.58599504001221,7.0
14.609291284127732,4.0
14.632587687892448,2.0
14.655884251572072,5.0
14.679180975432365,7.0
14.702477859739153,7.0
14.725774904758307,8.0
14.749072110755767,6.0
14.772369477997517,4.0
14.795667006749616,4.0
14.818964697278153,5.0
14.84226254984929,3.0
14.86556056472925,2.0
14.8888587421843,3.0
14.912157082480775,3.0
14.935455585885057,6.0
14.958754252663597,8.0
14.982053083082898,4.0
15.00535207740951,2.0
15.028651235910058,4.0
15.051950558851214,7.0
15.075250046499713,5.0
15.098549699122337,4.0
15.121849516985941,6.0
15.14514950035743,6.0
15.168449649503765,7.0
15.19174996469197,5.0
15.215050446189128,2.0
15.238351094262374,4.0
15.261651909178907,6.0
15.284952891205979,7.0
15.308254040610906,8.0
15.331555357661067,7.0
15.354856842623887,4.0
15.37815849576686,4.0
15.40146031735754,7.0
15.424762307663531,6.0
15.448064466952497,9.0
15.471366795492177,9.0
15.494669293550357,7.0
15.517971961394876,10.0
15.541274799293646,7.0
15.56457780751464,5.0
15.58788098632587,4.0
15.611184335995434,7.0
15.634487856791477,6.0
15.657791548982198,9.0
15.681095412835871,8.0
15.704399448620821,7.0
15.727703656605435,6.0
15.751008037058167,5.0
15.774312590247524,5.0
15.797617316442068,5.0
15.82092221591044,7.0
15.844227288921324,10.0
15.86753253574348,3.0
15.890837956645717,7.0
15.914143551896908,7.0
15.937449321766,10.0
15.960755266521977,7.0
15.984061386433915,3.0
16.007367681770916,5.0
16.030674152802188,7.0
16.053980799796953,6.0
16.077287623024528,9.0
16.10059462275428,10.0
16.12390179925565,12.0
16.14720915279812,8.0
16.170516683651254,7.0
16.193824392084665,5.0
16.21713227836803,8.0
16.24044034277111,9.0
16.26374858556369,11.0
16.287057007015655,9.0
16.310365607396935,6.0
16.333674386977524,10.0
16.356983346027484,8.0
16.380292484816938,9.0
16.40360180361606,5.0
16.42691130269511,3.0
16.4502209823244,6.0
16.47353084277431,7.0
16.496840884315276,5.0
16.520151107217796,6.0
16.543461511752447,9.0
16.566772098189862,7.0
16.59008286680074,7.0
16.61339381785583,5.0
16.63670495162597,9.0
16.660016268382044,8.0
16.683327768395007,8.0
16.70663945193588,5.0
16.72995131927576,2.0
16.753263370685772,6.0
16.77657560643714,10.0
16.79988802680115,12.0
16.82320063204914,10.0
16.84651342245253,6.0
16.86982639828279,6.0
16.893139559811452,5.0
16.916452907310134,6.0
16.93976644105051,5.0
16.963080161304312,8.0
16.98639406834335,9.0
17.009708162439487,8.0
17.033022443864674,5.0
17.05633691289089,6.0
17.079651569790236,5.0
17.102966414834825,7.0
17.126281448296872,7.0
17.149596670448634,6.0
17.172912081562462,9.0
17.196227681910745,10.0
17.219543471765967,8.0
17.242859451400655,4.0
17.26617562108742,8.0
17.28949198109893,9.0
17.312808531707923,8.0
17.336125273187214,5.0
17.35944220580967,7.0
17.38275932984823,6.0
17.40607664557592,13.0
17.4293941532658,11.0
17.452711853191023,9.0
17.47602974562481,7.0
17.49934783084044,11.0
17.52266610911126,9.0
17.54598458071069,7.0
17.56930324591222,10.0
17.59262210498941,6.0
17.61594115821588,10.0
17.639260405865333,9.0
17.662579848211518,5.0
17.68589948552828,7.0
17.70921931808952,10.0
17.732539346169208,9.0
17.755859570041373,7.0
17.779179989980143,6.0
17.8025006062597,6.0
17.825821419154273,6.0
17.849142428938194,4.0
17.872463635885847,6.0
17.895785040271708,8.0
17.919106642370284,10.0
17.94242844245619,8.0
17.96575044080409,6.0
17.98907263768873,12.0
18.012395033384912,13.0
18.03571762816752,8.0
18.05904042231152,8.0
18.08236341609193,9.0
18.105686609783834,6.0
18.129010003662405,7.0
18.152333598002883,6.0
18.175657393080574,9.0
18.19898138917086,12.0
18.22230558654919,9.0
18.24562998549109,7.0
18.268954586272148,4.0
18.29227938916804,4.0
18.3156043944545,10.0
18.33892960240734,9.0
18.362255013302438,8.0
18.38558062741576,9.0
18.40890644502333,7.0
18.432232466401246,8.0
18.455558691825676,4.0
18.478885121572876,5.0
18.502211755919152,6.0
18.525538595140908,9.0
18.548865639514602,4.0
18.572192889316778,4.0
18.59552034482404,7.0
18.61884800631307,6.0
18.642175874060634,11.0
18.66550394834356,10.0
18.68883222943875,10.0
18.712160717623178,11.0
18.735489413173912,10.0
18.758818316368075,12.0
18.782147427482855,8.0
18.80547674679554,7.0
18.82880627458347,9.0
18.852136011124085,11.0
18.875465956694857,8.0
18.89879611157339,8.0
18.92212647603731,7.0
18.945457050364347,9.0
18.9687878348323,8.0
18.992118829719036,5.0
19.015450035302507,12.0
19.03878145186074,8.0
19.062113079671832,11.0
19.08544491901395,13.0
19.108776970165355,7.0
19.132109233404364,12.0
19.15544170900938,9.0
19.178774397258888,10.0
19.202107298431436,9.0
19.22544041280565,8.0
19.24877374066024,11.0
19.272107282273996,11.0
19.295441037925762,6.0
19.318775007894487,10.0
19.34210919245918,11.0
19.365443591898924,10.0
19.388778206492894,5.0
19.412113036520317,6.0
19.435448082260532,4.0
19.458783343992938,8.0
19.482118821996995,9.0
19.505454516552266,9.0
19.52879042793838,7.0
19.55212655643504,10.0
19.575462902322034,18.0
19.598799465879225,11.0
19.62213624738656,10.0
19.645473247124063,16.0
19.66881046537181,6.0
19.692147902410003,12.0
19.715485558518886,10.0
19.73882343397879,10.0
19.762161529070127,10.0
19.7854998440734,6.0
19.80883837926917,9.0
19.832177134938085,13.0
19.855516111360874,5.0
19.878855308818352,11.0
19.902194727591404,6.0
19.925534367960985,9.0
19.948874230208155,13.0
19.972214314614035,11.0
19.995554621459824,7.0
20.01889515102682,7.0
20.042235903596385,10.0
20.065576879449956,11.0
20.088918078869074,7.0
20.112259502135327,2.0
20.135601149530416,10.0
20.15894302133611,8.0
20.18228511783425,16.0
20.20562743930676,10.0
20.22896998603567,10.0
20.252312758303052,9.0
20.27565575639109,8.0
20.29899898058203,9.0
20.32234243115821,10.0
20.345686108402045,11.0
20.369030012596035,15.0
20.39237414402276,11.0
20.415718502964886,11.0
20.439063089705147,9.0
20.462407904526376,14.0
20.48575294771149,9.0
20.509098219543453,10.0
20.532443720305356,13.0
20.555789450280354,7.0
20.57913540975168,7.0
20.602481599002655,12.0
20.625828018316682,10.0
20.64917466797726,7.0
20.67252154826794,13.0
20.695868659472385,9.0
20.71921600187433,16.0
20.742563575757593,15.0
20.76591138140607,9.0
20.789259419103754,12.0
20.812607689134722,16.0
20.835956191783122,17.0
20.859304927333195,16.0
20.88265389606926,10.0
20.90600309827572,5.0
20.929352534237076,5.0
