# Processed xy data with Haverford two-theta converted to LBL scale
two_theta,intensity
5.812336334448366,8.0
5.835590900706661,8.0
5.8588455295808854,9.0
5.882100221322295,10.0
5.905354976182176,9.0
5.928609794411824,5.0
5.951864676262572,7.0
5.97511962198576,8.0
5.99837463183276,8.0
6.02162970605496,10.0
6.044884844903773,7.0
6.0681400486306325,6.0
6.091395317486996,12.0
6.114650651724341,12.0
6.13790605159417,9.0
6.161161517348003,9.0
6.18441704923739,12.0
6.207672647513895,11.0
6.230928312429112,11.0
6.254184044234656,10.0
6.27743984318216,5.0
6.300695709523287,7.0
6.3239516435097185,10.0
6.347207645393159,9.0
6.370463715425341,12.0
6.3937198538580144,6.0
6.416976060942956,5.0
6.440232336931965,7.0
6.4634886820768624,9.0
6.486745096629497,7.0
6.510001580841738,9.0
6.53325813496548,7.0
6.5565147592526385,8.0
6.579771453955157,11.0
6.603028219325004,10.0
6.626285055614165,9.0
6.649541963074657,9.0
6.6727989419585185,10.0
6.696055992517813,9.0
6.719313115004629,8.0
6.742570309671076,6.0
6.7658275767692935,5.0
6.789084916551441,7.0
6.812342329269707,7.0
6.835599815176301,10.0
6.858857374523463,10.0
6.882115007563452,3.0
6.905372714548557,6.0
6.9286304957310865,11.0
6.951888351363382,12.0
6.975146281697805,7.0
6.998404286986744,12.0
7.021662367482616,11.0
7.044920523437857,8.0
7.068178755104935,7.0
7.091437062736341,6.0
7.1146954465845935,7.0
7.137953906902237,9.0
7.161212443941841,9.0
7.184471057955999,10.0
7.207729749197341,16.0
7.230988517918511,12.0
7.254247364372185,7.0
7.277506288811065,7.0
7.30076529148788,8.0
7.324024372655387,8.0
7.347283532566368,9.0
7.370542771473634,9.0
7.393802089630019,7.0
7.417061487288388,7.0
7.440320964701634,10.0
7.4635805221226725,11.0
7.486840159804451,10.0
7.510099877999942,10.0
7.533359676962151,11.0
7.5566195569440975,8.0
7.579879518198843,10.0
7.603139560979473,7.0
7.626399685539099,14.0
7.649659892130859,19.0
7.672920181007921,14.0
7.696180552423485,17.0
7.719441006630773,17.0
7.742701543883038,14.0
7.765962164433562,17.0
7.789222868535657,21.0
7.81248365644266,13.0
7.835744528407938,7.0
7.859005484684887,10.0
7.882266525526933,13.0
7.905527651187532,9.0
7.928788861920164,11.0
7.952050157978344,12.0
7.975311539615614,14.0
7.998573007085543,13.0
8.02183456064173,10.0
8.045096200537811,16.0
8.06835792702744,19.0
8.09161974036431,25.0
8.114881640802139,29.0
8.138143628594674,34.0
8.161405703995696,44.0
8.184667867259016,55.0
8.207930118638469,74.0
8.231192458387925,80.0
8.254454886761287,97.0
8.277717404012483,120.0
8.300980010395474,149.0
8.32424270616425,185.0
8.347505491572837,218.0
8.370768366875284,304.0
8.394031332325673,401.0
8.417294388178124,561.0
8.440557534686778,956.0
8.463820772105814,1870.0
8.487084100689438,3661.0
8.510347520691889,6304.0
8.53361103236744,8887.0
8.556874635970393,10279.0
8.58013833175508,10315.0
8.603402119975868,8926.0
8.62666600088715,6832.0
8.649929974743358,4126.0
8.673194041798952,1798.0
8.696458202308426,562.0
8.719722456526304,212.0
8.742986804707142,145.0
8.766251247105531,111.0
8.789515783976091,101.0
8.812780415573481,85.0
8.836045142152381,78.0
8.859309963967515,59.0
8.882574881273634,39.0
8.90583989432552,34.0
8.929105003377993,24.0
8.952370208685906,20.0
8.975635510504143,18.0
8.998900909087617,11.0
9.022166404691278,8.0
9.045431997570116,8.0
9.068697687979142,10.0
9.091963476173413,10.0
9.115229362408005,6.0
9.138495346938043,6.0
9.161761430018675,6.0
9.185027611905088,6.0
9.2082938928525,7.0
9.23156027311617,7.0
9.254826752951379,7.0
9.278093332613453,8.0
9.301360012357751,7.0
9.324626792439659,6.0
9.347893673114605,4.0
9.371160654638048,6.0
9.394427737265485,7.0
9.417694921252442,5.0
9.440962206854483,3.0
9.464229594327216,1.0
9.487497083926264,4.0
9.510764675907303,5.0
9.534032370526038,7.0
9.557300168038212,8.0
9.580568068699591,7.0
9.603836072765995,5.0
9.627104180493268,1.0
9.65037239213729,3.0
9.673640707953984,5.0
9.696909128199298,5.0
9.720177653129229,9.0
9.7434462829998,7.0
9.766715018067071,8.0
9.789983858587142,7.0
9.813252804816148,9.0
9.836521857010267,9.0
9.859791015425694,9.0
9.88306028031868,8.0
9.906329651945507,7.0
9.929599130562494,6.0
9.952868716425995,8.0
9.976138409792394,5.0
9.99940821091813,4.0
10.022678120059663,7.0
10.045948137473498,8.0
10.069218263416177,4.0
10.092488498144272,8.0
10.115758841914406,6.0
10.13902929498323,5.0
10.162299857607428,6.0
10.185570530043737,5.0
10.208841312548918,4.0
10.232112205379778,2.0
10.255383208793155,2.0
10.278654323045938,4.0
10.301925548395035,5.0
10.32519688509741,8.0
10.34846833341006,4.0
10.371739893590012,8.0
10.395011565894338,7.0
10.418283350580161,9.0
10.441555247904622,6.0
10.464827258124908,5.0
10.48809938149825,6.0
10.511371618281917,4.0
10.534643968733214,5.0
10.557916433109481,7.0
10.581189011668108,6.0
10.604461704666518,5.0
10.627734512362176,7.0
10.65100743501258,9.0
10.674280472875276,10.0
10.697553626207851,6.0
10.720826895267923,5.0
10.744100280313154,6.0
10.767373781601245,7.0
10.790647399389943,8.0
10.813921133937027,7.0
10.837194985500323,5.0
10.860468954337696,3.0
10.883743040707044,3.0
10.90701724486632,2.0
10.930291567073505,7.0
10.953566007586625,6.0
10.976840566663748,6.0
11.000115244562984,8.0
11.023390041542479,6.0
11.046664957860425,8.0
11.069939993775053,3.0
11.09321514954464,2.0
11.116490425427497,3.0
11.139765821681978,2.0
11.163041338566483,3.0
11.186316976339457,5.0
11.209592735259374,5.0
11.232868615584756,5.0
11.256144617574174,7.0
11.279420741486225,7.0
11.302696987579575,5.0
11.325973356112902,3.0
11.349249847344945,5.0
11.37252646153448,10.0
11.395803198940328,9.0
11.419080059821349,6.0
11.442357044436445,6.0
11.465634153044565,4.0
11.488911385904702,3.0
11.512188743275887,8.0
11.535466225417197,9.0
11.558743832587748,5.0
11.582021565046707,6.0
11.605299423053278,5.0
11.628577406866714,4.0
11.651855516746306,3.0
11.675133752951389,8.0
11.698412115741345,8.0
11.7216906053756,9.0
11.744969222113623,6.0
11.768247966214924,6.0
11.791526837939063,8.0
11.81480583754564,6.0
11.838084965294295,7.0
11.861364221444722,6.0
11.88464360625666,7.0
11.90792311998988,6.0
11.931202762904206,3.0
11.95448253525951,5.0
11.977762437315706,5.0
12.00104246933275,3.0
12.024322631570639,4.0
12.047602924289434,6.0
12.070883347749223,4.0
12.09416390221014,4.0
12.117444587932372,6.0
12.14072540517615,6.0
12.164006354201756,3.0
12.1872874352695,2.0
12.210568648639759,3.0
12.233849994572935,4.0
12.2571314733295,6.0
12.280413085169949,5.0
12.303694830354837,5.0
12.326976709144764,4.0
12.35025872180037,4.0
12.373540868582348,6.0
12.396823149751432,8.0
12.420105565568411,6.0
12.443388116294111,4.0
12.46667080218941,5.0
12.489953623515236,6.0
12.513236580532558,5.0
12.53651967350239,5.0
12.559802902685805,7.0
12.583086268343914,7.0
12.606369770737873,6.0
12.629653410128896,8.0
12.652937186778235,4.0
12.676221100947195,4.0
12.699505152897125,3.0
12.722789342889424,5.0
12.746073671185545,8.0
12.769358138046975,10.0
12.79264274373526,4.0
12.815927488511997,6.0
12.83921237263882,5.0
12.86249739637742,4.0
12.885782559989533,6.0
12.90906786373694,8.0
12.932353307881483,3.0
12.955638892685041,2.0
12.978924618409549,5.0
13.002210485316985,9.0
13.02549649366938,4.0
13.048782643728815,6.0
13.07206893575742,5.0
13.095355370017367,3.0
13.118641946770891,2.0
13.14192866628027,5.0
13.165215528807824,4.0
13.188502534615935,4.0
13.211789683967028,6.0
13.235076977123583,7.0
13.258364414348119,8.0
13.281651995903221,2.0
13.304939722051515,6.0
13.32822759305568,11.0
13.351515609178437,7.0
13.374803770682572,5.0
13.398092077830908,5.0
13.42138053088633,3.0
13.444669130111777,5.0
13.467957875770214,3.0
13.491246768124684,4.0
13.514535807438268,5.0
13.537824993974109,7.0
13.561114327995382,7.0
13.584403809765332,5.0
13.60769343954725,6.0
13.630983217604475,7.0
13.654273144200399,3.0
13.677563219598468,1.0
13.70085344406218,3.0
13.724143817855081,5.0
13.747434341240776,6.0
13.770725014482913,11.0
